,AUC,Precision,Recall,F1_Score,Accuracy,optimal_f1_threshold,low_risk_threshold,high_risk_threshold,youden_threshold,uncertain_interval
lr,0.8808416389811738,0.35,0.813953488372093,0.48951048951048953,0.7960893854748603,0.7000000000000002,0.05,0.8,0.5300000000000001,0.75
rf,0.988482834994463,0.8095238095238095,0.7906976744186046,0.8,0.952513966480447,0.43000000000000005,0.05,0.8500000000000002,0.43000000000000005,0.8000000000000002
ensemble,0.9946843853820597,0.8636363636363636,0.8837209302325582,0.8735632183908046,0.9692737430167597,0.5700000000000001,0.05,0.8900000000000001,0.44000000000000006,0.8400000000000001
