threshold,sensitivity,specificity,precision,f1_score
0.05,1.0,0.0380952380952381,0.12427745664739884,0.22107969151670953
0.060000000000000005,1.0,0.05714285714285714,0.1264705882352941,0.22454308093994776
0.07,1.0,0.09841269841269841,0.13149847094801223,0.23243243243243242
0.08000000000000002,1.0,0.13333333333333333,0.1360759493670886,0.2395543175487465
0.09000000000000001,1.0,0.14285714285714285,0.13738019169329074,0.24157303370786515
0.1,1.0,0.14603174603174604,0.13782051282051283,0.2422535211267606
0.11000000000000001,1.0,0.1619047619047619,0.14006514657980457,0.24571428571428572
0.12000000000000002,1.0,0.19682539682539682,0.14527027027027026,0.2536873156342183
0.13,1.0,0.21587301587301588,0.1482758620689655,0.25825825825825827
0.14,1.0,0.23174603174603176,0.15087719298245614,0.2621951219512195
0.15000000000000002,1.0,0.24761904761904763,0.15357142857142858,0.26625386996904027
0.16000000000000003,1.0,0.2634920634920635,0.15636363636363637,0.2704402515723271
0.17000000000000004,1.0,0.2857142857142857,0.16044776119402984,0.2765273311897106
0.18000000000000002,1.0,0.30793650793650795,0.16475095785440613,0.28289473684210525
0.19000000000000003,0.9767441860465116,0.34285714285714286,0.1686746987951807,0.2876712328767123
0.20000000000000004,0.9767441860465116,0.37777777777777777,0.17647058823529413,0.298932384341637
0.21000000000000002,0.9767441860465116,0.38095238095238093,0.17721518987341772,0.3
0.22000000000000003,0.9767441860465116,0.4,0.18181818181818182,0.3065693430656934
0.23000000000000004,0.9534883720930233,0.4095238095238095,0.18061674008810572,0.3037037037037037
0.24000000000000005,0.9302325581395349,0.41904761904761906,0.17937219730941703,0.3007518796992481
0.25000000000000006,0.9302325581395349,0.42857142857142855,0.18181818181818182,0.3041825095057034
0.26000000000000006,0.9302325581395349,0.4507936507936508,0.18779342723004694,0.3125
0.27,0.9302325581395349,0.4603174603174603,0.19047619047619047,0.3162055335968379
0.28,0.9302325581395349,0.4793650793650794,0.19607843137254902,0.32388663967611336
0.29000000000000004,0.9302325581395349,0.4984126984126984,0.20202020202020202,0.33195020746887965
0.30000000000000004,0.9302325581395349,0.5206349206349207,0.2094240837696335,0.34188034188034183
0.31000000000000005,0.9302325581395349,0.5301587301587302,0.2127659574468085,0.34632034632034636
0.32000000000000006,0.9302325581395349,0.5492063492063493,0.21978021978021978,0.35555555555555557
0.33000000000000007,0.9069767441860465,0.5619047619047619,0.22033898305084745,0.35454545454545455
0.3400000000000001,0.9069767441860465,0.580952380952381,0.22807017543859648,0.3644859813084112
0.3500000000000001,0.9069767441860465,0.5841269841269842,0.22941176470588234,0.36619718309859156
0.36000000000000004,0.9069767441860465,0.6,0.23636363636363636,0.375
0.37000000000000005,0.9069767441860465,0.6285714285714286,0.25,0.3919597989949749
0.38000000000000006,0.9069767441860465,0.6349206349206349,0.2532467532467532,0.3959390862944162
0.39000000000000007,0.9069767441860465,0.6412698412698413,0.2565789473684211,0.4
0.4000000000000001,0.8837209302325582,0.6603174603174603,0.2620689655172414,0.4042553191489362
0.4100000000000001,0.8837209302325582,0.6698412698412698,0.2676056338028169,0.41081081081081083
0.4200000000000001,0.8837209302325582,0.6825396825396826,0.2753623188405797,0.4198895027624309
