变量,系数,标准误,t值,p值,R2(线性模型)
截距,0.11946111098124776,0.011163287055333634,,,0.04567681267376644
BMI,-0.0019642115317520257,0.00033919098218259525,-5.790871912669659,9.176228696554413e-09,
孕周,0.00017934155020856303,3.5333911175089144e-05,5.075621244415226,4.546038133954067e-07,
